# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
KP1_0118	KP1_0118	BAH61028	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0120	KP1_0120	BAH61030	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0122	KP1_0122	BAH61032	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0285	KP1_0285	BAH61184	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0286	KP1_0286	BAH61185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0288	KP1_0288	BAH61187	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0292	KP1_0292	BAH61190	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0375	KP1_0375	BAH61264	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0378	KP1_0378	BAH61266	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0379	KP1_0379	BAH61267	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0381	KP1_0381	BAH61269	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KP1_0382	KP1_0382	BAH61270	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0383	KP1_0383	BAH61271	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0605	KP1_0605	BAH61464	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0607	KP1_0607	BAH61465	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0608	KP1_0608	BAH61466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0609	KP1_0609	BAH61467	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0611	KP1_0611	BAH61468	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0612	KP1_0612	BAH61469	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0613	KP1_0613	BAH61470	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_0614	KP1_0614	BAH61471	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_0615	KP1_0615	BAH61472	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0616	KP1_0616	BAH61473	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0617	KP1_0617	BAH61474	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0618	KP1_0618	BAH61475	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0619	KP1_0619	BAH61476	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0691	KP1_0691	BAH61539	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
KP1_0692	KP1_0692	BAH61540	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
KP1_0693	KP1_0693	BAH61541	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
KP1_0694	KP1_0694	BAH61542	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
KP1_0696	KP1_0696	BAH61543	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
KP1_0697	KP1_0697	BAH61544	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
KP1_0744	KP1_0744	BAH61588	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0748	KP1_0748	BAH61590	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0749	KP1_0749	BAH61591	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_0750	KP1_0750	BAH61592	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0751	KP1_0751	BAH61593	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0752	KP1_0752	BAH61594	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0753	KP1_0753	BAH61595	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0754	KP1_0754	BAH61596	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0755	KP1_0755	BAH61597	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_0760	KP1_0760	BAH61602	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0761	KP1_0761	BAH61603	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0762	KP1_0762	BAH61604	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0763	KP1_0763	BAH61605	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0764	KP1_0764	BAH61606	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0765	KP1_0765	BAH61607	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_0766	KP1_0766	BAH61608	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_1067	KP1_1067	BAH61868	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
KP1_1068	KP1_1068	BAH61869	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
KP1_1075	KP1_1075	BAH61876	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_1076	KP1_1076	BAH61877	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1123	KP1_1123	BAH61918	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1124	KP1_1124	BAH61919	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1126	KP1_1126	BAH61920	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1127	KP1_1127	BAH61921	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1207	KP1_1207	BAH61996	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1209	KP1_1209	BAH61997	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1210	KP1_1210	BAH61998	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1211	KP1_1211	BAH61999	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1212	KP1_1212	BAH62000	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_1213	KP1_1213	BAH62001	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1214	KP1_1214	BAH62002	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1215	KP1_1215	BAH62003	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1217	KP1_1217	BAH62004	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1218	KP1_1218	BAH62005	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1220	KP1_1220	BAH62007	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1227	KP1_1227	BAH62013	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1228	KP1_1228	BAH62014	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1231	KP1_1231	BAH62017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1276	KP1_1276	BAH62059	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1280	KP1_1280	BAH62063	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_1290	KP1_1290	BAH62072	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1292	KP1_1292	BAH62073	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1293	KP1_1293	BAH62074	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1294	KP1_1294	BAH62075	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1295	KP1_1295	BAH62076	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1296	KP1_1296	BAH62077	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1298	KP1_1298	BAH62078	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1299	KP1_1299	BAH62079	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1355	KP1_1355	BAH62130	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
KP1_1428	KP1_1428	BAH62193	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1429	KP1_1429	BAH62194	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1431	KP1_1431	BAH62195	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1432	KP1_1432	BAH62196	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
KP1_1433	KP1_1433	BAH62197	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_1434	KP1_1434	BAH62198	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_1435	KP1_1435	BAH62199	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_1436	KP1_1436	BAH62200	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1
KP1_1437	KP1_1437	BAH62201	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
KP1_1438	KP1_1438	BAH62202	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
KP1_1439	KP1_1439	BAH62203	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
KP1_1440	KP1_1440	BAH62204	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
KP1_1442	KP1_1442	BAH62206	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KP1_1443	KP1_1443	BAH62207	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1444	KP1_1444	BAH62208	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1445	KP1_1445	BAH62209	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1447	KP1_1447	BAH62210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1448	KP1_1448	BAH62211	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1449	KP1_1449	BAH62212	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1450	KP1_1450	BAH62213	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1554	KP1_1554	BAH62307	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1570	KP1_1570	BAH62321	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1571	KP1_1571	BAH62322	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1573	KP1_1573	BAH62323	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1574	KP1_1574	BAH62324	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1578	KP1_1578	BAH62327	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1579	KP1_1579	BAH62328	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1580	KP1_1580	BAH62329	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1583	KP1_1583	BAH62332	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1586	KP1_1586	BAH62335	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1587	KP1_1587	BAH62336	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1588	KP1_1588	BAH62337	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1589	KP1_1589	BAH62338	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1590	KP1_1590	BAH62339	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1591	KP1_1591	BAH62340	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1592	KP1_1592	BAH62341	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1661	KP1_1661	BAH62404	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1663	KP1_1663	BAH62406	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1674	KP1_1674	BAH62417	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1677	KP1_1677	BAH62420	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KP1_1678	KP1_1678	BAH62421	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1679	KP1_1679	BAH62422	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1680	KP1_1680	BAH62423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1726	KP1_1726	BAH62464	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1727	KP1_1727	BAH62465	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1728	KP1_1728	BAH62466	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1729	KP1_1729	BAH62467	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1730	KP1_1730	BAH62468	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1731	KP1_1731	BAH62469	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1732	KP1_1732	BAH62470	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1733	KP1_1733	BAH62471	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1734	KP1_1734	BAH62472	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1755	KP1_1755	BAH62492	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1759	KP1_1759	BAH62494	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1760	KP1_1760	BAH62495	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1761	KP1_1761	BAH62496	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1773	KP1_1773	BAH62508	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1856	KP1_1856	BAH62587	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1864	KP1_1864	BAH62594	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_1916	KP1_1916	BAH62639	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1917	KP1_1917	BAH62640	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_1919	KP1_1919	BAH62642	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_1926	KP1_1926	BAH62649	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1
KP1_1930	KP1_1930	BAH62653	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1932	KP1_1932	BAH62655	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_1933	KP1_1933	BAH62656	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_1947	KP1_1947	BAH62669	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_2008	KP1_2008	BAH62727	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2009	KP1_2009	BAH62728	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_2010	KP1_2010	BAH62729	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2012	KP1_2012	BAH62730	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_2014	KP1_2014	BAH62732	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_2016	KP1_2016	BAH62734	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_2017	KP1_2017	BAH62735	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
KP1_2018	KP1_2018	BAH62736	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_2019	KP1_2019	BAH62737	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
KP1_2022	KP1_2022	BAH62740	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_2024	KP1_2024	BAH62742	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
KP1_2035	KP1_2035	BAH62751	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	1
KP1_2036	KP1_2036	BAH62752	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	1
KP1_2037	KP1_2037	BAH62753	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	1
KP1_2038	KP1_2038	BAH62754	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	1
KP1_2039	KP1_2039	BAH62755	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	1
KP1_2040	KP1_2040	BAH62756	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0
KP1_2041	KP1_2041	BAH62757	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0
KP1_2044	KP1_2044	BAH62760	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
KP1_2068	KP1_2068	BAH62781	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_2072	KP1_2072	BAH62784	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_2073	KP1_2073	BAH62785	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2100	KP1_2100	BAH62810	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
KP1_2101	KP1_2101	BAH62811	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2103	KP1_2103	BAH62813	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2104	KP1_2104	BAH62814	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KP1_2141	KP1_2141	BAH62848	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
KP1_2147	KP1_2147	BAH62853	protein_coding	0	0	0	68	0	0	0	5	0	0	0	0	0	0	0	0	63
KP1_2148	KP1_2148	BAH62854	protein_coding	0	0	0	68	0	0	0	5	0	0	0	0	0	0	0	0	63
KP1_2149	KP1_2149	BAH62855	protein_coding	0	0	0	68	0	0	0	5	0	0	0	0	0	0	0	0	63
KP1_2150	KP1_2150	BAH62856	protein_coding	0	1	0	67	0	0	0	5	0	0	0	0	0	0	0	1	62
KP1_2152	KP1_2152	BAH62857	protein_coding	0	38	20	14	0	0	0	10	0	20	0	0	0	0	0	38	4
KP1_2154	KP1_2154	BAH62858	protein_coding	0	0	0	72	0	0	0	68	0	0	0	0	0	0	0	0	4
KP1_2156	KP1_2156	BAH62859	protein_coding	0	0	0	73	0	0	0	68	0	0	0	0	0	0	0	0	5
KP1_2157	KP1_2157	BAH62860	protein_coding	0	0	0	68	0	0	0	63	0	0	0	0	0	0	0	0	5
KP1_2158	KP1_2158	BAH62861	protein_coding	0	0	0	68	0	0	0	5	0	0	0	0	0	0	0	0	63
KP1_2159	KP1_2159	BAH62862	protein_coding	0	0	0	56	0	0	0	55	0	0	0	0	0	0	0	0	1
KP1_2160	KP1_2160	BAH62863	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	4
KP1_2161	KP1_2161	BAH62864	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	4
KP1_2163	KP1_2163	BAH62865	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	4
KP1_2164	KP1_2164	BAH62866	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
KP1_2165	KP1_2165	BAH62867	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
KP1_2166	KP1_2166	BAH62868	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2167	KP1_2167	BAH62869	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KP1_2170	KP1_2170	BAH62872	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2171	KP1_2171	BAH62873	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2172	KP1_2172	BAH62874	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
KP1_2173	KP1_2173	BAH62875	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2175	KP1_2175	BAH62876	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2176	KP1_2176	BAH62877	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2177	KP1_2177	BAH62878	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2178	KP1_2178	BAH62879	protein_coding	0	10	5	0	0	0	0	0	0	5	0	0	0	0	0	10	0
KP1_2180	KP1_2180	BAH62880	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
KP1_2181	KP1_2181	BAH62881	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2183	KP1_2183	BAH62882	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
KP1_2184	KP1_2184	BAH62883	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0
KP1_2185	KP1_2185	BAH62884	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
KP1_2187	KP1_2187	BAH62886	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
KP1_2199	KP1_2199	BAH62898	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
KP1_2200	KP1_2200	BAH62899	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
KP1_2201	KP1_2201	BAH62900	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
KP1_2202	KP1_2202	BAH62901	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0
